image_name,ground_truth_count,prediction_count,zone_person_count,TP,FP,FN,precision,recall,f1_score,inference_time_seconds,fps
0001_video_m2_frame_00000165_jpg.rf.VmLGwSartpBx7RMrlObm.jpg,0,4,4,0,4,0,0.0,0.0,0.0,2.2003495000008115,0.4544732552713245
0002_m3_frame_00000492_jpg.rf.lgijMyDlssKAjYXleXoE.jpg,3,4,4,3,1,0,0.75,1.0,0.8571428571428571,0.07916279999881226,12.63219593060129
0003_video_m2_frame_00000825_jpg.rf.aHcW2KfvbrbsXo17ODSU.jpg,4,4,4,4,0,0,1.0,1.0,1.0,0.06709439999940514,14.904373539503535
0005_m3_frame_00001478_jpg.rf.BFC27VefVE2z5TFaMule.jpg,4,4,4,4,0,0,1.0,1.0,1.0,0.06819270000050892,14.664326240089292
0005_video_m2_frame_00001485_jpg.rf.V3xNyChu56664FmQg1zU.jpg,5,6,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.06648450000102457,15.041099804985963
0011_m3_frame_00003450_jpg.rf.HbH1temJBU3N1AzluGe1.jpg,4,4,4,4,0,0,1.0,1.0,1.0,0.06763910000154283,14.784348106009546
0013_video_m2_frame_00004125_jpg.rf.MRhHt8AUTAG6d30C6BLQ.jpg,3,7,7,3,4,0,0.42857142857142855,1.0,0.6,0.06693149999955494,14.940648274827987
0017_video_main_frame_00001595_jpg.rf.KvQdGY0q3pdhqRReRJAv.jpg,2,2,2,2,0,0,1.0,1.0,1.0,0.06639279999944847,15.061874179252976
0018_video_main_frame_00001691_jpg.rf.woQOMFJlwuGHV3Va6SlX.jpg,2,2,2,2,0,0,1.0,1.0,1.0,0.08171989999937068,12.236921484334916
0019_video_main_frame_00001788_jpg.rf.fOl23phvLUTyMHNu2UNh.jpg,2,2,2,2,0,0,1.0,1.0,1.0,0.06667609999931301,14.997877800445789
0021_m3_frame_00006737_jpg.rf.IqMXacOM1edWUzv2tOrC.jpg,4,4,4,4,0,0,1.0,1.0,1.0,0.06710430000021006,14.902174674303579
0022_m3_frame_00007065_jpg.rf.Ns8mxRC1AKKWrygE94ZS.jpg,1,1,1,1,0,0,1.0,1.0,1.0,0.06660529999862774,15.01382022182323
0023_m3_frame_00007394_jpg.rf.GW1a0ZTfitz4yGMWKWLB.jpg,2,2,2,2,0,0,1.0,1.0,1.0,0.06683570000132022,14.962063687224743
0023_video_m2_frame_00007425_jpg.rf.k2KzxE7zkqRVQleElOgt.jpg,4,3,3,3,0,1,1.0,0.75,0.8571428571428571,0.06574400000135938,15.210513506621488
0025_m3_frame_00008051_jpg.rf.gBEXgzSArTUCvToNAOsA.jpg,1,1,1,1,0,0,1.0,1.0,1.0,0.06671059999825957,14.99012151031604
0030_m3_frame_00009695_jpg.rf.lvLmYAeb75LCai14L3NW.jpg,0,0,0,0,0,0,0.0,0.0,0.0,0.06671509999978298,14.98911041133496
0031_m3_frame_00010023_jpg.rf.N7Bq2nH2tZAFWb8XNv9f.jpg,0,0,0,0,0,0,0.0,0.0,0.0,0.06618780000098923,15.108524531485473
0032_video_m2_frame_00010396_jpg.rf.ULZXMn4JRWqM4eWkgYN4.jpg,4,4,4,4,0,0,1.0,1.0,1.0,0.0660029000009672,15.150849432151407
0032_video_main_frame_00003045_jpg.rf.PEeEP5JgaaAMQxmP5HzO.jpg,2,4,4,2,2,0,0.5,1.0,0.6666666666666666,0.06896640000013576,14.499814402347106
0033_m3_frame_00010680_jpg.rf.uTbADPBu6n0LzB6lrKBK.jpg,0,0,0,0,0,0,0.0,0.0,0.0,0.06858410000131698,14.580638952480204
0033_video_m2_frame_00010726_jpg.rf.Y10Rj53Ytt5ngmJEpRby.jpg,3,4,4,1,3,2,0.25,0.3333333333333333,0.28571428571428575,0.06711990000076185,14.898711112332549
